N, epsilon, method, forward, backward, central, upwind, downwind
128,0.001,Arc Length,0.6766059014163229,2.393880779840163,0.003814734134252377,0.04553210337316274,5.200108961604557
128,0.001,Curvature,3.1865231789933905,2.6780592995146026,0.00013888898497402572,0.019816579743377694,13.504683398357729
256,0.001,Arc Length,57.737809412206644,2.0026985215144415,0.0022061936340652304,0.02570835720431458,5.727159725117671
256,0.001,Curvature,3.1035541595181337,8.697207408609659,3.821801396307338e-05,0.009817892831308656,69.16345110008174
512,0.001,Arc Length,1.7543195401429306,16.587459342397565,0.0010862221630296351,0.013664864742574973,2.4925156408071594
512,0.001,Curvature,3.3425484127641485,3.522085184582247,9.2011583943148e-06,0.004885496396718814,3.4642238934725724
8,0.0001,Arc Length,11.972192041946851,7.738840835933392,0.6520458213762649,0.0004344242923597089,3.393138407632025
8,0.0001,Curvature,12.811650928532249,1.6909008938371441,0.9277807702253856,0.31193659274097757,2.014747523243037
16,0.0001,Arc Length,23.86349450348812,123.38415411216951,0.8296761476852283,0.25996341258432615,1.5916009231152963
16,0.0001,Curvature,0.11886986228479544,26.92295836077145,0.9355600602561118,0.18315313292483218,14.360525559314208
32,0.0001,Arc Length,329.68495552905154,194.30943497138253,0.9157430253149789,0.17568960808955708,45.385072171852144
32,0.0001,Curvature,50.193762797491715,195.08666743399493,0.003923667680124861,0.08681648456528421,8.328194428225803
64,0.0001,Arc Length,558.9294506164547,6.755625007934881,0.014159250584855218,0.09207144194671099,1.5193339103725902
64,0.0001,Curvature,18.72183616679712,17.212904799495778,0.0008090939835535875,0.04249840337812291,2.3227804255476334
128,0.0001,Arc Length,58.81570231711005,5.300971413513755,0.005775140357654589,0.047355037844321046,334.85542392508233
128,0.0001,Curvature,4.068241617845565,1.6665136754534602,0.0002778620814917209,0.02014194755273571,9.942847161305355
256,0.0001,Arc Length,122.21008751506828,104.33996735352466,0.003711128067658193,0.029494598652009277,272.48462223914447
256,0.0001,Curvature,4.589416052527852,3.3484753568208205,3.588640617580915e-05,0.009929671274509555,46.66984188804886
512,0.0001,Arc Length,0.07473245793753046,6.021514665355147,0.0013232493111058675,0.015047161090596978,2597.909387687445
512,0.0001,Curvature,5.320223009361134,9.076283071886099,9.090385563976777e-06,0.004923323590508899,74.31492066533819
8,1e-05,Arc Length,12.159308264464979,2844.7793281814797,0.6521619972017637,3.61964796885852e-05,364.4771664596432
8,1e-05,Curvature,10.136626392988662,2.883605560576413,0.9797613587327909,8.514598958049567e-05,6.034695860908508
16,1e-05,Arc Length,121.47172184984572,11.779811608189291,0.8297772485692003,0.00012626156372671626,26.658183597914213
16,1e-05,Curvature,27.72192363124835,355.7806956804997,0.8829395329129202,0.19040829096018924,8.002687563403303
32,1e-05,Arc Length,392.3771172921475,31.49790750051599,0.9157755994236104,0.16749869319900942,24.034511868534917
32,1e-05,Curvature,0.14632263609170892,14.89491611355076,0.0034712051190274804,0.08929849740658036,2.5918250531793428
64,1e-05,Arc Length,4420.196170390451,0.035565754643701215,0.9580988780581716,0.12237836770337823,1.1791354879662233
64,1e-05,Curvature,796.6529186962175,15.07563632183643,0.0008187732834204877,0.04216715249652911,82027.25953278132
128,1e-05,Arc Length,1941.0323465803046,205.26632081428158,0.979172933910738,0.04291383665864404,299.859514096267
128,1e-05,Curvature,62.81242255565806,13.710368991674073,0.00016683000487514437,0.020527328870033196,3269.2584190580887
256,1e-05,Arc Length,96.88087551991309,44.198408988133544,0.003367692067393513,0.03078570512411781,1467.0820670445273
256,1e-05,Curvature,6.198294775308889,4.838647590758566,3.88909520018143e-05,0.009982938302859456,72.26847306124463
512,1e-05,Arc Length,1898.590635859129,24.492664647224426,0.0014504276087493632,0.018010928022285155,51.360734853994714
512,1e-05,Curvature,4.682202826734091,27.77530718329325,9.08054106083292e-06,0.004936624596883932,32.27890759192395
8,1e-06,Arc Length,12.17912569943473,631.4412575825033,0.6521728794574488,0.00017188232060824865,8.96700572267052
8,1e-06,Curvature,1.0169330475756881,4297.680170583221,0.9840082135764884,3.0314782129742928,1.0587701089715629
16,1e-06,Arc Length,212.64985274585243,38.30292274301633,0.82978601707789,7.577131388335594e-06,21.158638325429322
16,1e-06,Curvature,0.10472686896137215,9890.553840740089,0.9909126823910099,8.070607387928335e-06,12.32391007857472
