N, epsilon, method, forward, backward, central, upwind, downwind
16,0.001,Arc Length,1.3037724742919492,4.785140731946657,0.035399225070355284,0.06808331768360287,1.0573090965313356
16,0.001,Curvature,3.350634148584712,1.527865864250962,0.013700257283565387,0.04497145883044551,1.346854945333484
32,0.001,Arc Length,1.0400428836222548,11.79007774428285,0.010260011283233395,0.040820725554314444,1.0208693806800675
32,0.001,Curvature,2.8565593663696114,0.3679206311125922,0.0031249042466932053,0.021725573928120245,1.0151338634075036
64,0.001,Arc Length,2.0807726584019672,1.2100085980247928,0.0023925798286843353,0.022691712581686146,0.43177718343096105
64,0.001,Curvature,2.741369801931309,0.49434974496151435,0.000562037121129566,0.010797270740560028,1.0292790373243899
128,0.001,Arc Length,1.68070797178759,0.10526819740871027,0.0006206255286522744,0.012221536226689728,1.0164648219776
128,0.001,Curvature,8.91246130015668,2.395407280403885,0.00023085066245709385,0.005412942723064029,1.0650420094589812
256,0.001,Arc Length,0.009327015425751095,0.009327020099910988,0.00015605318359523945,0.00639050882393577,0.007229326898831143
256,0.001,Curvature,1.2242332076049212,1.725223008663793,6.230901446480086e-05,0.002709839158781091,1.1399424651029342
512,0.001,Arc Length,0.004590529657627518,0.004590529657780673,3.916983006435615e-05,0.003274542165944694,0.0034819544202744357
512,0.001,Curvature,0.002143928014989527,0.0021439280148534134,1.6243116453096285e-05,0.0013566216229226047,0.0013695226198082583
8,0.0001,Arc Length,1.0078770191903568,13.918507896751047,1.0525419232410391,1.701286375415661,0.9281476107005471
8,0.0001,Curvature,1.8124745050118678,1.8242929735926543,1.0743283549501594,1.2080899599645012,0.7847561904305258
16,0.0001,Arc Length,1.7846667290278488,7.719670285511533,0.07307950809179387,0.08644421495344146,3.29938651195186e-05
16,0.0001,Curvature,10.878042488444747,9.679968612295006,0.01620260294150655,0.04963647772767965,1.0024361910721833
32,0.0001,Arc Length,2.8890723317214553,1.8815687989488883,0.012721875791032122,0.05104231960139638,1.0069999648817263
32,0.0001,Curvature,10.967677902031756,1.7684266589846545,0.003279170947993515,0.023824241033610805,0.0013952206136424805
64,0.0001,Arc Length,3.1700661260613425,1.0145290620308725,0.008432943515469148,0.030205898269569847,6.383867570794499e-06
64,0.0001,Curvature,1.231453649669592,2.081420026471096,0.0008976669899927736,0.011741318591335093,1.0017355939433357
128,0.0001,Arc Length,1.129656122662912,2.771522146081204,0.0019679476046668976,0.016883823464541647,1.004681842857339
128,0.0001,Curvature,1.2561022444967624,1.1271367624492725,0.0002799734178033919,0.005830156706903344,1.004644296880351
256,0.0001,Arc Length,2.5584102325091216,3.505139597999553,0.000556263483504682,0.009157325790206727,1.002861846332115
256,0.0001,Curvature,1.673515986495158,0.2556292287070435,6.0710801015662064e-05,0.0029105133222777635,1.0064888289667033
512,0.0001,Arc Length,1.5570320308101886,1.195480701662391,0.00014758309955209548,0.00483915807668546,1.001499111480103
512,0.0001,Curvature,13.383418859094093,2.2453418766815334,1.74106357182513e-05,0.0014543835542137895,1.0177604987399653
8,1e-05,Arc Length,1.838582821235081,2.6594474736654887,1.0048975601577967,1.105750535617638,0.5892146410692493
8,1e-05,Curvature,2.328126742047948,2.328105927938877,1.017105377416988,1.1380927837574546,0.7221954026813943
16,1e-05,Arc Length,3.9465378570589733,3.3565613283489326,1.0271081415729943,0.0924777757058457,1.0003559219364038
16,1e-05,Curvature,1.1044384310657147,4.177024007107029,1.1165627090163133,0.05294782766046047,1.0004133317712716
32,1e-05,Arc Length,1.1649755933997188,1.4001771788701847,0.04473447175690226,0.05859728666586472,1.0009511983224904
32,1e-05,Curvature,2.2138299840160536,1.23676037526831,0.0027563297527987696,0.025232447346638653,1.0007977511412227
64,1e-05,Arc Length,1.0028997287534605,2.438809445419782,0.010011578406081023,0.03464809405841296,1.0013924260363778
64,1e-05,Curvature,39.647417908981666,3.5825134473884406,0.0007650427573088203,0.012158796830276764,1.002553317815962
128,1e-05,Arc Length,1.0000122202986288,1.7498881966394337,0.0034410727002507756,0.019918243562747406,1.0004004017276111
128,1e-05,Curvature,1.973386564177586,1.063459092714688,0.00023349656929261275,0.006011808890832082,1.0004156145484762
256,1e-05,Arc Length,2.294212710821628,1.0005728710184811,0.0016751877872993163,0.011106746305291626,5.8036192521343623e-08
256,1e-05,Curvature,3.4361167237053927,1.3118666794146097,7.635546081347089e-05,0.0029895215391402274,1.0003513676794797
512,1e-05,Arc Length,1.3481281793671864,8.140309634509473,0.00042048325628887275,0.006051467564642955,2.8408792948372852e-08
